%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
13619000 -75.758155822753906 
13658000 -76.057609558105469 
13697000 -77.516571044921875 
13736000 -75.974296569824219 
13775000 -76.12603759765625 
13814000 -75.353622436523438 
13853000 -75.715713500976563 
13892000 -75.262535095214844 
13931000 -75.524696350097656 
13970000 -75.842819213867188 
14009000 -75.394058227539063 
14048000 -75.793472290039062 
14087000 -76.297340393066406 
14126000 -76.024749755859375 
14165000 -75.584739685058594 
14204000 -75.440032958984375 
14243000 -75.905235290527344 
14282000 -75.6483154296875 
14321000 -75.024993896484375 
14360000 -75.603126525878906 
14399000 -75.195358276367188 
14438000 -76.591598510742187 
14477000 -75.291900634765625 
14516000 -75.701881408691406 
14555000 -75.520339965820312 
14594000 -75.615242004394531 
14633000 -76.283271789550781 
14672000 -74.897010803222656 
14711000 -77.067008972167969 
14750000 -76.762435913085938 
14789000 -75.4144287109375 
14828000 -76.349006652832031 
14867000 -75.938499450683594 
14906000 -76.179168701171875 
14945000 -75.644035339355469 
14984000 -75.349266052246094 
15023000 -76.043083190917969 
15062000 -75.306404113769531 
15101000 -75.872787475585938 
15140000 -76.556068420410156 
15179000 -76.292526245117187 
15218000 -76.213447570800781 
15257000 -75.14910888671875 
15296000 -75.75054931640625 
15335000 -76.547584533691406 
15374000 -75.836151123046875 
15413000 -77.290008544921875 
15452000 -76.021987915039063 
15491000 -75.133880615234375 
15530000 -75.920478820800781 
15569000 -75.36279296875 
15608000 -75.885398864746094 
15647000 -74.763847351074219 
15686000 -76.534111022949219 
15725000 -75.684913635253906 
15764000 -76.598556518554687 
15803000 -76.120903015136719 
15842000 -75.170822143554687 
15881000 -76.256629943847656 
15920000 -75.612815856933594 
15959000 -75.860198974609375 
15998000 -75.857170104980469 
16037000 -75.203453063964844 
16076000 -75.369804382324219 
16115000 -75.192619323730469 
16154000 -75.799644470214844 
16193000 -77.023452758789063 
16232000 -76.413536071777344 
16271000 -75.899101257324219 
16310000 -76.85205078125 
16349000 -76.740455627441406 
