%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
8042000 -70.814788818359375 
8081000 -71.209457397460938 
8120000 -71.177467346191406 
8159000 -71.160003662109375 
8198000 -70.141128540039062 
8237000 -69.97918701171875 
8276000 -70.828338623046875 
8315000 -70.224441528320313 
8354000 -71.23175048828125 
8393000 -71.254135131835938 
8432000 -70.829910278320312 
8471000 -71.101730346679688 
8510000 -71.370429992675781 
8549000 -71.468894958496094 
8588000 -72.504104614257813 
8627000 -72.120346069335938 
8666000 -70.937698364257813 
8705000 -71.7369384765625 
8744000 -70.842430114746094 
8783000 -71.238548278808594 
8822000 -70.685317993164062 
8861000 -70.663803100585938 
8900000 -71.677436828613281 
8939000 -69.912300109863281 
8978000 -72.062118530273437 
9017000 -71.237525939941406 
9056000 -71.975502014160156 
9095000 -71.184623718261719 
9134000 -72.068359375 
9173000 -71.679237365722656 
9212000 -70.863090515136719 
9251000 -72.368751525878906 
9290000 -72.114509582519531 
9329000 -70.877716064453125 
9368000 -71.846343994140625 
9407000 -71.780448913574219 
9446000 -71.694969177246094 
9485000 -71.726615905761719 
9524000 -71.674057006835938 
9563000 -71.198936462402344 
9602000 -71.690101623535156 
9641000 -70.882530212402344 
9680000 -72.176055908203125 
9719000 -72.495162963867188 
9758000 -72.335014343261719 
9797000 -71.834259033203125 
9836000 -71.365242004394531 
9875000 -71.362358093261719 
9914000 -72.966545104980469 
9953000 -72.366188049316406 
9992000 -70.850997924804688 
10031000 -71.941093444824219 
10070000 -72.844108581542969 
10109000 -70.680007934570313 
10148000 -72.66864013671875 
10187000 -71.736618041992188 
10226000 -71.381919860839844 
10265000 -72.491020202636719 
10304000 -72.286552429199219 
